id,year,loan_limit,gender,approv_in_adv,loan_type,loan_purpose,credit_worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,interest_rate_spread,upfront_charges,term,neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,secured_by,total_units,income,credit_type,credit_score,co-applicant_credit_type,age,submission_of_application,ltv,region,security_type,status,dtir1,income_to_loan_ratio,emi_estimate,emi_income_ratio
49802,2019,conforming,female,no_preapproval,type2,p3,l1,nopc,business,116500,4.99,1.4474,2463.12,360.0,no,no,not_lpsm,138000.0,sb,pr,home,1u,1740.0,exp,679,cib,45-54,to_inst,84.42028986,north,direct,0,41.0,0.014935622317596566,323.6111111111111,0.18598339719029372
171958,2019,conforming,sex not available,preapproved,type1,p4,l1,nopc,non_business,236500,3.99,0.4417,2517.59,360.0,no,no,not_lpsm,268000.0,sb,pr,home,1u,5880.0,exp,853,exp,25-34,to_inst,88.24626866,south,direct,0,44.0,0.024862579281183933,656.9444444444445,0.11172524565381708
78500,2019,conforming,female,no_preapproval,type1,p3,l1,nopc,non_business,256500,4.25,0.622,3437.5,180.0,no,no,not_lpsm,708000.0,sb,pr,home,1u,5640.0,exp,776,exp,65-74,to_inst,36.22881356,north,direct,0,32.0,0.02198830409356725,1425.0,0.2526595744680851
64562,2019,conforming,female,no_preapproval,type1,p1,l1,nopc,non_business,686500,3.375,-0.2241,0.0,360.0,no,no,not_lpsm,838000.0,sb,pr,home,1u,7140.0,exp,653,cib,35-44,not_inst,81.92124105,north,direct,0,48.0,0.010400582665695558,1906.9444444444443,0.26707905384375974
29546,2019,conforming,male,no_preapproval,type1,p4,l1,nopc,non_business,286500,3.69,-0.0084,0.0,360.0,no,no,not_lpsm,758000.0,sb,pr,home,1u,4800.0,exp,855,cib,35-44,not_inst,37.79683377,north,direct,0,36.0,0.016753926701570682,795.8333333333334,0.16579861111111113
63333,2019,conforming,male,no_preapproval,type1,p4,l1,nopc,non_business,566500,4.0,0.0554,5630.0,360.0,no,no,not_lpsm,758000.0,sb,pr,home,1u,7620.0,crif,514,cib,35-44,not_inst,74.73614776,north,direct,0,32.0,0.013451015004413062,1573.611111111111,0.20651064450277049
114313,2019,conforming,sex not available,no_preapproval,type1,p1,l1,nopc,non_business,286500,3.375,0.1312,2887.18,360.0,no,no,not_lpsm,308000.0,sb,pr,home,1u,7860.0,cib,890,cib,45-54,to_inst,93.01948052,south,direct,0,31.0,0.027434554973821988,795.8333333333334,0.10125106022052588
66799,2019,conforming,sex not available,preapproved,type1,p3,l1,nopc,non_business,266500,4.125,0.4472,2597.5,360.0,no,no,not_lpsm,388000.0,sb,pr,home,1u,4800.0,exp,667,cib,65-74,to_inst,68.68556701,south,direct,0,37.0,0.01801125703564728,740.2777777777778,0.15422453703703703
82180,2019,conforming,female,no_preapproval,type1,p3,l1,nopc,non_business,136500,3.625,0.8731,3901.0,240.0,no,no,not_lpsm,228000.0,sb,pr,home,1u,4200.0,cib,541,cib,45-54,to_inst,59.86842105,north,direct,0,23.0,0.03076923076923077,568.75,0.13541666666666666
131912,2019,conforming,female,no_preapproval,type1,p3,l1,nopc,non_business,486500,4.56,0.692,0.0,360.0,no,no,not_lpsm,618000.0,sb,pr,home,1u,5040.0,crif,631,cib,45-54,not_inst,78.72168285,north,direct,0,44.0,0.010359712230215827,1351.388888888889,0.2681327160493827
132894,2019,conforming,female,preapproved,type1,p4,l1,nopc,non_business,446500,3.75,-0.0266,0.0,360.0,no,no,not_lpsm,858000.0,sb,sr,home,1u,13500.0,cib,899,cib,65-74,not_inst,52.03962704,north,direct,0,13.0,0.030235162374020158,1240.2777777777778,0.0918724279835391
96431,2019,conforming,joint,no_preapproval,type1,p1,l2,nopc,non_business,196500,4.56,0.6441,3099.04,360.0,no,no,not_lpsm,258000.0,sb,pr,home,1u,2340.0,exp,632,exp,35-44,to_inst,76.1627907,north,direct,0,49.0,0.011908396946564885,545.8333333333334,0.23326210826210828
28727,2019,non_conforming,male,no_preapproval,type1,p4,l1,nopc,non_business,186500,3.99,0.3858,2555.5550000000003,240.0,yes,no,not_lpsm,418000.0,sb,pr,home,1u,6360.0,equi,515,exp,25-34,to_inst,75.11160714,north,direct,1,39.0,0.034101876675603215,777.0833333333334,0.1221829140461216
32768,2019,conforming,male,no_preapproval,type3,p4,l1,nopc,non_business,586500,3.25,-0.456,46.9,360.0,no,no,not_lpsm,828000.0,sb,pr,home,1u,5820.0,cib,629,cib,65-74,not_inst,70.83333333,north,direct,0,39.0,0.009923273657289003,1629.1666666666667,0.27992554410080184
102033,2019,conforming,female,no_preapproval,type1,p3,l1,nopc,non_business,146500,4.125,1.022,4210.0,180.0,no,no,not_lpsm,188000.0,sb,pr,home,1u,5940.0,crif,687,exp,45-54,to_inst,77.92553191,north,direct,0,49.0,0.040546075085324235,813.8888888888889,0.13701833146277592
131974,2019,conforming,joint,no_preapproval,type1,p1,l2,nopc,non_business,706500,3.99,0.3858,2555.5550000000003,360.0,no,no,not_lpsm,828000.0,sb,pr,home,1u,6480.0,crif,682,exp,55-64,not_inst,85.32608696,north,direct,1,58.0,0.009171974522292993,1962.5,0.3028549382716049
56714,2019,conforming,male,no_preapproval,type1,p4,l1,nopc,non_business,426500,3.75,0.0291,1258.25,360.0,no,no,not_lpsm,578000.0,sb,pr,home,1u,6300.0,crif,829,cib,25-34,not_inst,73.78892734,north,direct,0,41.0,0.014771395076201642,1184.7222222222222,0.1880511463844797
73024,2019,conforming,sex not available,no_preapproval,type3,p4,l1,nopc,non_business,316500,3.875,0.2422,0.0,360.0,no,no,not_lpsm,308000.0,sb,pr,home,1u,5820.0,exp,713,cib,35-44,to_inst,102.7597403,south,direct,0,39.0,0.018388625592417062,879.1666666666666,0.15105956471935852
125577,2019,conforming,male,preapproved,type1,p1,l1,nopc,non_business,176500,4.625,0.4461,3331.29,360.0,yes,no,not_lpsm,178000.0,sb,pr,home,1u,3840.0,crif,890,cib,25-34,to_inst,99.15730337,north,direct,0,24.0,0.021756373937677053,490.27777777777777,0.12767650462962962
54638,2019,conforming,joint,no_preapproval,type2,p1,l1,nopc,business,226500,3.99,0.3858,2555.5550000000003,360.0,no,no,not_lpsm,238000.0,sb,pr,home,1u,6300.0,cib,617,exp,25-34,to_inst,95.16806723,north,direct,1,39.0,0.02781456953642384,629.1666666666666,0.09986772486772486
